date,time,discord_user,x_handle,activity_type,activity_url,target_url,task_id,notes
2026-01-09,14:03:38,george_v.,georgev30794173,comment,https://x.com/GeorgeV30794173/status/2009627126115471646,https://x.com/i/status/2009602883680182615,,$ATOM!!!
2026-01-09,19:50:31,marios6444,supermari0ff,comment,https://x.com/Supermari0FF/status/2009714423007416398,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,21:40:20,namaste108,securitylabgr,comment,https://x.com/SecurityLabGR/status/2009742056030097449,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,12:33:22,kosmas17,cosmash4,comment,https://x.com/Cosmash4/status/2009604410671042875,https://x.com/i/status/2009602883680182615,,"The cat is working hard 
$ATOM"
2026-01-09,12:53:51,paplianos,paplianos,comment,https://x.com/paplianos/status/2009609564707250231,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,22:49:38,maslag,maslag3,comment,https://x.com/MaslaG3/status/2009759499930755235,https://x.com/i/status/2009602883680182615,,Wooow that's cool! Is it AI-made?
2026-01-09,14:02:05,_tasosp,psyccccc,comment,https://x.com/psyccccc/status/2009626735159951712,https://x.com/i/status/2009602883680182615,,$ATOM 
2026-01-09,18:05:22,alkismotel,dal_alkis,comment,https://x.com/Dal_Alkis/status/2009687960636272907,https://x.com/i/status/2009602883680182615,,$ΑΤΟΜ
2026-01-09,15:36:35,.liumang,liu1908mang,comment,https://x.com/Liu1908Mang/status/2009650516234756312,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,13:31:26,morpheus6,luporomano3,comment,https://x.com/luporomano3/status/2009619023445828012,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-10,08:42:38,bamouch,sdigaletos,comment,https://x.com/SDigaletos/status/2009908732524736782,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,19:05:17,nikolees_,niko_lees,comment,https://x.com/Niko_Lees/status/2009703038198685980,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,17:04:58,alex_grs,chuman_bean,comment,https://x.com/Chuman_Bean/status/2009672759119622216,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,13:27:26,_crisxz,criszygo,comment,https://x.com/criszygo/status/2009618017454313697,https://x.com/i/status/2009602883680182615,,$ATOM
2026-01-09,14:11:03,mike_limas,mike_limas_gr,comment,https://x.com/Mike_Limas_GR/status/2009628993797136624,https://x.com/i/status/2009602883680182615,,Symbolism. $ATOM
2026-01-09,18:20:24,itsino_,tsin0s,comment,https://x.com/tsin0s/status/2009691743567147374,https://x.com/i/status/2009602883680182615,,$ATOM ONLY
2026-01-10,13:23:08,tonyler,tonyler_,quote,https://x.com/tonyler_/status/2009979320882942326,https://x.com/i/status/2009602883680182615,,“all will be clear soon”
2026-01-09,14:03:44,_tasosp,psyccccc,quote,https://x.com/psyccccc/status/2009627151809843547,https://x.com/i/status/2009602883680182615,,"You don't need any technical analysis....
Just follow Tony "
2026-01-11,12:22:11,sirthanos,sirthanos60,repost,https://x.com/SirThanos60,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,pako_mess,pakomesscyber,repost,https://x.com/pakomesscyber,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,_tasosp,psyccccc,repost,https://x.com/psyccccc,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,cybernetics_knight,sakaflias_4,repost,https://x.com/sakaflias_4,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,namaste108,securitylabgr,repost,https://x.com/SecurityLabGR,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,burningskies,crypto_voyager7,repost,https://x.com/Crypto_Voyager7,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,mi_chail,gkem_mike,repost,https://x.com/gkem_mike,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,iganokabamaru,sonyxpe41357662,repost,https://x.com/SonyXpe41357662,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,swiftk23,swiftakiaskost1,repost,https://x.com/swiftakiaskost1,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,bamouch,sdigaletos,repost,https://x.com/SDigaletos,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,spyroskat,spyroskatomeris,repost,https://x.com/spyroskatomeris,https://x.com/i/status/2009602883680182615,,
2026-01-11,12:22:11,gregory_fs,grigorisg1r,repost,https://x.com/GriGorisg1r,https://x.com/i/status/2009602883680182615,,
